quarter,industry1,industry2,industry3,retrench,retrench_permanent,retrench_term_contract
2007-Q4,services,"community, social and personal services",health and social services,10,-,10
2007-Q4,services,"community, social and personal services","arts, entertainment and recreation",-,-,-
2007-Q4,services,"community, social and personal services","other community, social and personal services",-,-,-
2007-Q4,others,others,others,-,-,-
2008-Q1,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",20,-,20
2008-Q1,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",250,250,-
2008-Q1,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",-,-,-
2008-Q1,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",370,350,30
2008-Q1,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",800,790,-
2008-Q1,manufacturing,transport equipment,transport equipment,10,-,10
2008-Q1,manufacturing,other manufacturing industries,other manufacturing industries,350,320,40
2008-Q1,construction,construction,construction,10,10,-
2008-Q1,services,wholesale and retail trade,wholesale trade,160,140,20
2008-Q1,services,wholesale and retail trade,retail trade,20,20,-
2008-Q1,services,transportation and storage,land transport and supporting services,-,-,-
2008-Q1,services,transportation and storage,water transport and supporting services,-,-,-
2008-Q1,services,transportation and storage,air transport and supporting services,-,-,-
2008-Q1,services,transportation and storage,other transport and storage services,30,30,-
2008-Q1,services,accommodation and food services,accommodation,-,-,-
2008-Q1,services,accommodation and food services,food and beverage services,10,10,-
2008-Q1,services,information and communications,"telecommunications, broadcasting and publishing",10,10,-
2008-Q1,services,information and communications,it and other information services,20,10,10
2008-Q1,services,financial and insurance services,financial services,110,100,-
2008-Q1,services,financial and insurance services,insurance services,-,-,-
2008-Q1,services,real estate services,real estate services,20,20,-
2008-Q1,services,professional services,"legal, accounting and management services",20,20,-
2008-Q1,services,professional services,architectural and engineering services,30,30,10
2008-Q1,services,professional services,other professional services,20,20,-
2008-Q1,services,administrative and support services,security and investigation,-,-,-
2008-Q1,services,administrative and support services,cleaning and landscaping,-,-,-
2008-Q1,services,administrative and support services,other adminstrative and support services,40,40,-
2008-Q1,services,"community, social and personal services",public administration and education,30,30,-
2008-Q1,services,"community, social and personal services",health and social services,20,10,-
2008-Q1,services,"community, social and personal services","arts, entertainment and recreation",20,20,-
2008-Q1,services,"community, social and personal services","other community, social and personal services",30,30,-
2008-Q1,others,others,others,10,10,-
2008-Q2,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2008-Q2,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",80,80,-
2008-Q2,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",10,10,-
2008-Q2,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",260,250,10
2008-Q2,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",480,480,-
2008-Q2,manufacturing,transport equipment,transport equipment,180,160,30
2008-Q2,manufacturing,other manufacturing industries,other manufacturing industries,190,190,-
2008-Q2,construction,construction,construction,20,20,-
2008-Q2,services,wholesale and retail trade,wholesale trade,150,140,10
2008-Q2,services,wholesale and retail trade,retail trade,40,40,-
2008-Q2,services,transportation and storage,land transport and supporting services,10,-,10
2008-Q2,services,transportation and storage,water transport and supporting services,20,10,-
2008-Q2,services,transportation and storage,air transport and supporting services,20,20,-
2008-Q2,services,transportation and storage,other transport and storage services,20,20,-
2008-Q2,services,accommodation and food services,accommodation,10,10,-
2008-Q2,services,accommodation and food services,food and beverage services,50,50,-
2008-Q2,services,information and communications,"telecommunications, broadcasting and publishing",20,20,-
2008-Q2,services,information and communications,it and other information services,30,30,-
2008-Q2,services,financial and insurance services,financial services,90,90,-
2008-Q2,services,financial and insurance services,insurance services,30,30,-
2008-Q2,services,real estate services,real estate services,-,-,-
2008-Q2,services,professional services,"legal, accounting and management services",50,50,-
2008-Q2,services,professional services,architectural and engineering services,30,10,20
2008-Q2,services,professional services,other professional services,10,10,-
2008-Q2,services,administrative and support services,security and investigation,-,-,-
2008-Q2,services,administrative and support services,cleaning and landscaping,-,-,-
2008-Q2,services,administrative and support services,other adminstrative and support services,10,10,-
2008-Q2,services,"community, social and personal services",public administration and education,30,30,-
2008-Q2,services,"community, social and personal services",health and social services,-,-,-
2008-Q2,services,"community, social and personal services","arts, entertainment and recreation",30,30,-
2008-Q2,services,"community, social and personal services","other community, social and personal services",10,10,-
2008-Q2,others,others,others,-,-,-
2008-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",10,10,-
2008-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",130,130,-
2008-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",30,30,-
2008-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",370,300,70
2008-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",1130,780,350
2008-Q3,manufacturing,transport equipment,transport equipment,170,40,120
2008-Q3,manufacturing,other manufacturing industries,other manufacturing industries,400,400,-
2008-Q3,construction,construction,construction,130,70,50
2008-Q3,services,wholesale and retail trade,wholesale trade,250,220,40
2008-Q3,services,wholesale and retail trade,retail trade,30,-,30
2008-Q3,services,transportation and storage,land transport and supporting services,40,-,40
2008-Q3,services,transportation and storage,water transport and supporting services,10,10,-
